,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
3802,A4uc3-zbHowQeR_u-7VNOw,"""Fiesta Cancun""",Oakbridge Community,"""7854 Mineral Point Rd""",Madison,WI,53711,43.060587,-89.5192273,3.5,6,0,Mexican;Restaurants
4113,u6sbx5j-06KmPxUwY_mDqg,"""Mad Dogs Eatery""",Capitol,"""309 N Henry St""",Madison,WI,53703,43.075124200000005,-89.390236,3.0,18,0,Restaurants;Hot Dogs
4216,6pG7n8Rx_7ZXeQQk690Nsw,"""Fair Trade Coffee House""",Capitol,"""418 State St""",Madison,WI,53703,43.075046,-89.392028,4.0,73,1,Coffee & Tea;Cafes;Restaurants;Food;Sandwiches
4321,XO9oHMxyT0fklifbmED5LQ,"""The Taco Shop""",Capitol,"""604 University Ave""",Madison,WI,53715,43.073442799999995,-89.3960157,2.5,19,0,Restaurants;Mexican
4330,MOsFhDVav42shCq9-rgejw,"""Potbelly Sandwich Shop""",,"""2245 Zeier Rd""",Madison,WI,53704,43.129181,-89.3024425,5.0,6,1,Sandwiches;Delis;Fast Food;Restaurants
4347,w53wITixOgDFWld-X1mMng,"""Main Depot Tavern""",Capitol,"""627 W Main St""",Madison,WI,53703,43.0672802,-89.392125,4.0,14,1,American (Traditional);Nightlife;Restaurants;Bars;Pubs
4992,nsw3tlB-hwz4KbPYcuaSww,"""Novanta""",,"""8452 Old Sauk Rd""",Madison,WI,53562,43.0749188,-89.52984659999998,4.5,177,1,Pizza;Restaurants;American (New);Mediterranean;Italian
5000,zi_qqjCzkerE2dT-ViE2JA,"""Bellini Italian Restaurant""",Capitol,"""401 E Washington Ave""",Madison,WI,53703,43.077324,-89.37990490000001,3.5,69,0,Restaurants;Italian
5094,sdfmHavBrOZMMsiBv2sg7g,"""Bluephies""",Dudgeon-Monroe,"""2701 Monroe St, Ste 700""",Madison,WI,53711,43.0566805,-89.4288493,3.5,230,0,Salad;Restaurants;American (Traditional);American (New)
5377,uC3qwaxsOkdJzpOc0v1Mog,"""Cafe Hollander""",,"""726 N Midvale Blvd""",Madison,WI,53705,43.072963038299996,-89.45388054870001,3.5,351,1,American (Traditional);Belgian;Gastropubs;Breakfast & Brunch;Restaurants
5499,940rOS3vKpqJMKtrsoatTA,"""Tilted Kilt Pub & Eatery""",,"""420 Gammon Way""",Madison,WI,53774,43.059441,-89.501962,2.5,7,0,Nightlife;Beer;Wine & Spirits;Bars;Restaurants;Food;American (New);Fast Food;Pubs
5572,laERkVWfXVeQcjMSNe65SA,"""The Double U""",Capitol,"""620 University Ave""",Madison,WI,53715,43.0733436,-89.3967426,3.0,12,1,Pizza;Bars;Sports Bars;Nightlife;Restaurants
5575,XFuNeVTGWZ-UOYO58NNmKg,"""The Statehouse""",Capitol,"""1001 Wisconsin Pl""",Madison,WI,53703,43.079189500000005,-89.38968630000001,3.0,80,1,Nightlife;Bars;Breakfast & Brunch;American (Traditional);Restaurants;American (New)
5734,n28_5ElTCVkhP-9BTgQGgg,"""IHOP""",Bluff Acres,"""4614 E Washington Ave""",Madison,WI,53704,43.1301419411,-89.3064034109,2.0,24,1,American (New);American (Traditional);Breakfast & Brunch;Restaurants
5796,jM6YI5V4fYM7OCA1BLKwqw,"""Taco Bell""",,"""698 S. Whitney Way""",Madison,WI,53719,43.05044,-89.47375,1.5,23,1,Restaurants;Fast Food;Tex-Mex;Mexican
5829,IpLvJEjb4AN8eWq5NE2TVA,"""Granite City Food & Brewery""",,"""72 West Towne Mall""",Madison,WI,53719,43.0562949363,-89.5050414709,3.5,127,0,Restaurants;American (New);American (Traditional);Breweries;Bars;Burgers;Food;Nightlife
6186,c7ZTyqSG4v4ZVwK3vuDklQ,"""Ian's Pizza By The Slice""",Capitol,"""319 N Frances St""",Madison,WI,53703,43.0728935,-89.39563559999999,4.0,170,1,Pizza;Restaurants
6213,nsfOIWfXpJVylXvryjEcNw,"""Schlotzsky's Deli""",Mayfair Park,"""3825 E Washington Ave""",Madison,WI,53704,43.119328700000004,-89.3201096,3.5,11,0,Delis;Restaurants
6517,XSpEeRqe1CeIBrDoC-wEzg,"""Library Mall""",Capitol,"""728 State St""",Madison,WI,53706,43.0753052127,-89.3979099407,4.5,7,1,Food Trucks;Street Vendors;Restaurants;Food Stands;Food
6938,rr-8WQv7TWFP3c83ypc4Cg,"""Bridges Golf Course""",Carpenter-Ridgeway,"""2702 Shopko Dr""",Madison,WI,53704,43.111405,-89.34716359999999,3.5,15,1,Golf;Restaurants;Active Life
7352,k7-UuMFIGcbgmP6RY0Gn_Q,"""Crave Restaurant & Lounge""",Capitol,"""201 W Gorham St""",Madison,WI,53703,43.075138,-89.39081,3.5,7,0,Lounges;Nightlife;Restaurants;Bars
7620,duG7f4gq2hS-QW50s-g4zA,"""Chipotle Mexican Grill""",Bluff Acres,"""4628 E Washington Ave""",Madison,WI,53704,43.130444583199996,-89.305695506,3.5,34,1,Fast Food;Restaurants;Mexican
7647,pH9HF3GfJKJAdKDHcoUI4w,"""The Madison Blind""",Capitol,"""601 Langdon St""",Madison,WI,53703,43.07564330899999,-89.39547460979999,3.5,55,0,Bars;Restaurants;Diners;American (New);Nightlife;Cocktail Bars
8126,TvhpG74DvdoF4MA0vLlOLw,"""Buck's Pizza""",Lake Edge,"""219 Cottage Grove Rd""",Madison,WI,53716,43.0836891,-89.3225822,4.0,22,1,Restaurants;Pizza
8221,Y_wVqdHHkmfxdaHGOPffqQ,"""Kato's Cajun""",,"""66 E Towne Mall""",Madison,WI,53704,43.125152299999996,-89.3057293,2.5,3,1,Cajun/Creole;Restaurants;Fast Food
8261,VbRT8CJlnCO9_rd0zW-rUw,"""Willy Street Pub & Grill""",Williamson - Marquette,"""852 Williamson St""",Madison,WI,53703,43.079507,-89.370069,3.5,18,1,Nightlife;Restaurants;Bars;American (Traditional);Dive Bars
8356,6zZDTZ4ZZEYfN268iPz0uQ,"""RED""",Capitol,"""316 West Washington Ave, Ste 100""",Madison,WI,53703,43.07284,-89.388113,4.0,117,1,Bars;Lounges;Food;Sushi Bars;Desserts;Cocktail Bars;Restaurants;Nightlife
8401,DhMshA4a0t5wlOq7u0RiMw,"""Subway""",,"""7011 Watts Rd""",Madison,WI,53719,43.0498188,-89.50422259999999,2.0,5,1,Restaurants;Fast Food;Sandwiches
8495,Pzs43Fkub-6A9hA1zqpF_w,"""Maharaja Restaurant""",,"""6713 Odana Rd""",Madison,WI,53719,43.055999,-89.4977688,4.0,142,0,Restaurants;Indian;Pakistani
8536,alUQ8F8tom1kTsk4353I2A,"""Copps Food Center""",Carpenter-Ridgeway,"""2502 Shopko Dr""",Madison,WI,53704,43.112943,-89.349625,2.5,12,0,Grocery;Restaurants;Specialty Food;Meat Shops;Food;Health Markets;Delis;Beer;Wine & Spirits
8762,kDCmjSgYGn8MbQsnO5UJnA,"""Nau-Ti-Gal""",,"""5360 Westport Rd""",Madison,WI,53704,43.1501998757,-89.4041699011,2.5,73,1,Seafood;American (Traditional);Burgers;Restaurants
9181,wGPZCNenq5HYb50Ip9NXAw,"""El Pescador""",Eken Park,"""2810 E Washington Ave""",Madison,WI,53774,43.102942,-89.345949,4.0,5,0,Mexican;Restaurants
9260,hXCoi8OuvdhIA-zXJiPvfg,"""Full Of Bull Famous Roast Beef""",Capitol,"""534 State St""",Madison,WI,53703,43.075128899999996,-89.394324,2.5,26,0,Sandwiches;Steakhouses;Restaurants
9351,Q6_YIK0yUI8HEgqrOIE-1Q,"""A Sakura""",,"""5401 Caddis Bend""",Madison,WI,53711,43.019333047399996,-89.42055702209998,3.0,16,0,Japanese;Sushi Bars;Restaurants
9375,nD_SylumoZnWevDlWcyGcQ,"""43 North""",Capitol,"""108 King St""",Madison,WI,53703,43.074745,-89.3812356,4.0,93,0,Food;Tapas/Small Plates;Restaurants;American (New)
9794,3-HFGxmbzSax-NySJ_LzDg,"""VIP""",,"""6718-6722 Odana Rd""",Madison,WI,53719,43.057108899999996,-89.49835999999999,3.5,173,1,Sushi Bars;Restaurants;Chinese;Japanese
10029,7OKQ4ENVfPfxtDqFOG7x0g,"""A8 China""",Capitol,"""608 University Ave""",Madison,WI,53715,43.0734206,-89.39615970000001,2.5,34,1,Restaurants;Chinese
10328,wX8btbqgyFh0yHgmyR8ovA,"""Monsoon Siam""",Schenk - Atwood,"""2045 Atwood Ave""",Madison,WI,53704,43.092071399999995,-89.3535202,4.0,142,1,Thai;Bars;Nightlife;Soup;Restaurants
10387,LOARujcfx-Ty_RUlcnYspg,"""Burger King""",Starkweather - Yahar,"""2655 E Washington Ave""",Madison,WI,53704,43.101439,-89.34723199999999,1.5,28,1,Fast Food;Restaurants
10450,5YUoTimGDPbbmRfw6SJgTQ,"""China Kitchen""",,"""6608 Mineral Point Rd""",Madison,WI,53705,43.06157879999999,-89.49593730000001,3.5,15,1,Chinese;Restaurants
10497,OlA7h9oOttqTALudvEUzTg,"""Gloria's Mexican Restaurant""",Junction Ridge,"""610 Junction Rd""",Madison,WI,53717,43.073255200000006,-89.5266699,4.0,65,1,Mexican;Restaurants
10622,jz_q2_QTq_CdDbOtY2FSXg,"""Starbucks""",Sunset Village,"""3515 University Ave""",Madison,WI,53705,43.0748689,-89.44748680000001,3.0,28,1,Cafes;Food;Restaurants;Coffee & Tea
10775,sBoifVfW-caU7Hq05QMJgw,"""El Rincon Tico""",Williamson - Marquette,"""1133 Williamson  St""",Madison,WI,53703,43.082528,-89.36483100000001,3.0,13,0,Latin American;Restaurants
10901,h9ELiqDfwNktCvLEu1DDNg,"""Paul's Club""",Capitol,"""204 State St""",Madison,WI,53703,43.0748794571,-89.38833832739999,3.5,92,1,Nightlife;American (New);Lounges;Bars;Restaurants
11001,7CD4qTysNB-lis85QFS8Tg,"""Jalapeño Mexican Grill""",Bram's Addition,"""1821 S Park St""",Madison,WI,53713,43.0470342,-89.3939631,4.0,7,0,Mexican;Restaurants
11040,lc9RZgA1FYbaJp4JQ4gm0Q,"""Madtown Pizza""",Tenney - Lapham,"""912 E Johnson St""",Madison,WI,53703,43.0847415,-89.37605699999999,4.0,19,0,Restaurants;Pizza
11064,WkHVtY5voeLCvv61klhUnA,"""Arby's""",,"""4 Collins Ct""",Madison,WI,53716,43.047206,-89.305583,2.5,9,1,Fast Food;Burgers;Restaurants;Sandwiches
11106,-mst4KdHEmeF3Qm0Xfouhw,"""Subway""",,"""6000 Monona Dr, Ste 100""",Madison,WI,53716,43.0539464275,-89.3249382824,2.0,5,1,Sandwiches;Restaurants;Fast Food
11354,fQ1sYWuXtVVOFWhrC9bTrA,"""Culver's""",Nobel Park,"""1325 Northport Dr""",Madison,WI,53704,43.1341322,-89.3728554,3.0,13,1,Restaurants;Ice Cream & Frozen Yogurt;Fast Food;Food;Burgers
11436,2YlUn3s132hNq5ueGeIiJg,"""Bonfyre American Grille""",,"""2601 W Beltline Hwy""",Madison,WI,53713,43.034735368999996,-89.42256113879999,3.5,212,1,Nightlife;Bars;Beer Bar;American (Traditional);Cocktail Bars;Restaurants;American (New)
11541,9qd2RuiGMtVju7tqdp3dsw,"""Jovian Taphaus""",McClellan Park,"""876 Jupiter Dr""",Madison,WI,53718,43.0853685,-89.2798865,2.0,6,0,Restaurants;American (New)
11589,miiptVrDH-qHT4wmI-Lk8g,"""Wendy's""",,"""633 S Gammon Rd""",Madison,WI,53719,43.051062,-89.5023902,3.5,12,1,Fast Food;Restaurants;Burgers
11652,asAHqgKQtCWiBbC3XriSIQ,"""Chang Jiang""",,"""646 S Gammon Rd""",Madison,WI,53719,43.0505454,-89.50397679999999,3.5,27,1,Restaurants;Chinese
11898,Thbnk3uDJ2PPCCluUdqfEg,"""Cactus Ranch""",Regent,"""2701 University Ave""",Madison,WI,53705,43.073151,-89.434322,3.5,9,0,Tex-Mex;Barbeque;Restaurants;Burgers
12011,wEisic-u9Yj543iYzfpAhw,"""La Mestiza""",,"""6644 Odana Rd""",Madison,WI,53719,43.056038,-89.49419509999998,4.0,156,1,Mexican;Restaurants
12061,RJNAeNA-209sctUO0dmwuA,"""The Old Fashioned""",Capitol,"""23 N Pinckney St""",Madison,WI,53703,43.0761862475,-89.3837572172,4.0,1449,1,American (New);American (Traditional);Bars;German;Salad;Food;Beer;Wine & Spirits;Restaurants;Nightlife;Breakfast & Brunch;Steakhouses
12089,9D9VuQW6ysUacf63q-5pMA,"""Pizza Hut""",Greenbush,"""520 S Park St""",Madison,WI,53715,43.061355299999995,-89.4010849,4.0,6,1,Italian;Pizza;Restaurants;Chicken Wings
12131,2cetuQgbP1Bnzm-uMRlocQ,"""Nam's Noodle""",South Campus,"""1336 Regent St""",Madison,WI,53715,43.067977500000005,-89.40845379999999,3.5,91,1,Asian Fusion;Chinese;Restaurants;Vietnamese;Noodles
12132,1ru9ZnIcSXKtD-jQoxLzNg,"""Freiburg Gastropub""",Dudgeon-Monroe,"""2616 Monroe St""",Madison,WI,53711,43.05755070000001,-89.42852959999999,4.0,103,1,Restaurants;Gastropubs;Beer Bar;Nightlife;Bars;German
12761,ffUMyqLvDLcsed5p_7wy5A,"""Avenue Bar""",Tenney - Lapham,"""1128 E Washington Ave""",Madison,WI,53703,43.085589,-89.36945290000001,3.5,101,0,Nightlife;Restaurants;Bars;American (Traditional);Fish & Chips;Cocktail Bars
13245,rKUyL4Bbgd_ipQI3F9i3tQ,"""Dodo's Cafe""",,"""66 W Towne Mall""",Madison,WI,53719,43.056384360500005,-89.50637839950001,4.0,5,0,Coffee & Tea;Juice Bars & Smoothies;Food;Restaurants;Cafes
13264,MQb3PUxPJKYNQOY7g9bc_A,"""Rocky Rococo Pan Style Pizza - North/East""",,"""1753 Thierer Rd""",Madison,WI,53704,43.1232835811,-89.31311221530001,2.5,13,1,Italian;Pizza;Restaurants;Salad
13311,KYdtom3RyDt-3SWGwmJcQA,"""QDOBA Mexican Eats""",,"""6650 Mineral Point Rd""",Madison,WI,53705,43.0614295863,-89.4965509978,3.5,10,1,Restaurants;Fast Food;Event Planning & Services;Caterers;Mexican
13351,iFlr0eG_qH-cgXFhji7gbQ,"""Erin's Snug Irish Pub""",,"""4601 American Pkwy""",Madison,WI,53718,43.1486157,-89.2892764,3.5,147,1,American (Traditional);Irish;Pubs;Nightlife;Restaurants;Breakfast & Brunch;Irish Pub;Bars;Sandwiches
13395,tvESBMlJsaARw6hXoRCdjQ,"""Taco Bell""",,"""East Towne Mall, 228 East Towne Mall""",Madison,WI,53704,43.127819,-89.30661500000001,1.0,3,1,Restaurants;Tex-Mex;Mexican;Fast Food
13461,M4f1JtOp03-gv8xR5JtV8Q,"""Papa John's Pizza""",Stone Meadows,"""6619 McKee Rd""",Madison,WI,53719,43.0146904387,-89.4983652026,2.5,12,1,Restaurants;Pizza
13607,i7PG3pFaBLy9MHM_RYzKAw,"""Rising Sons""",Wexford,"""745 N High Point Rd""",Madison,WI,53717,43.076113644799996,-89.51811387309999,4.0,35,1,Restaurants;Asian Fusion;Thai
13744,qLYNdv7bgA7OOOKTxu0giA,"""Good Food""",Capitol,"""33 E Main St""",Madison,WI,53703,43.0740986906,-89.38282370569999,4.5,70,1,Restaurants;Food Stands;Food;Street Vendors;Sandwiches
14432,HaRB76OqxMZ28snURM9tFw,"""Papa Bear's BBQ""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716,43.084097,-89.30451679999999,4.0,20,0,Barbeque;Restaurants
14554,DQMaUSbKsRtB5lJD3egqxQ,"""Wah Kee Wonton Noodle""",Williamson - Marquette,"""600 Williamson St, Ste E""",Madison,WI,53703,43.077067799999995,-89.3744,3.5,144,1,Chinese;Cantonese;Noodles;Restaurants
14730,-jZ1TrvY56HFqmxjbpcU2A,"""Gotham Bagels""",Capitol,"""112 E Mifflin St""",Madison,WI,53704,43.0769221065,-89.3835302639,3.5,156,1,Food;Bagels;Restaurants;Delis;Breakfast & Brunch
15136,KW5qy8mKBpgd2xL_5w7Mzg,"""Topper's Pizza""",Norman Acres,"""4128 E Washington Ave""",Madison,WI,53704,43.1254222,-89.312196,2.5,19,1,Pizza;Restaurants
15199,vahVdHsH5HjThT0Sa2mThQ,"""Wilson's Bar""",Schenk - Atwood,"""2144 Atwood Ave""",Madison,WI,53704,43.093214,-89.350403,3.5,27,1,Sandwiches;Burgers;Bars;Restaurants;Nightlife;Sports Bars
15539,n_EdZHrdiLSaO6IMr5RyWA,"""Saffron""",Regent,"""10 S Allen St""",Madison,WI,53726,43.067687899999996,-89.4239575,4.5,3,0,Cafes;Restaurants
15628,tnRZmWnVnq25S0Hd4h-L_A,"""Las Cazuelas""",Capitol,"""15 N Butler St""",Madison,WI,53703,43.077124299999994,-89.3815107,2.5,8,0,Mexican;Restaurants
15633,hc81y_5FQjTiZcgqnY8vfQ,"""Pizza Hut""",Rolling Meadows,"""4762 Cottage Grove Rd""",Madison,WI,53716,43.08459570000001,-89.2995667,2.0,12,1,Restaurants;Chicken Wings;Pizza;Italian
15684,iy-t6CyVL2g38wPFY4ac4g,"""Pizza Hut""",,"""7440 Mineral Point Rd""",Madison,WI,53717,43.061151,-89.512235,2.0,18,1,Restaurants;Italian;Chicken Wings;Pizza
15815,Qn2uD06olrxL_43_4G_Hqg,"""Rosati's Authentic Chicago Pizza""",,"""4933 Commercial Ave""",Madison,WI,53704,43.105556360600005,-89.2966957014,3.0,15,1,Pizza;Restaurants
16051,fqeHgAtcUxp2ocf_RLErkg,"""Mr. Brews Taphouse All American Burgers""",Junction Ridge,"""610 Junction Rd, Ste 107""",Madison,WI,53717,43.0733000354,-89.52668633309999,3.5,91,1,Pubs;American (New);Restaurants;Bars;Burgers;Nightlife
16214,d6VYQbeTZ_WdD8Uuhh35dg,"""Tempest Oyster Bar""",Capitol,"""120 E Wilson St""",Madison,WI,53703,43.073930018599995,-89.3796241524,4.0,205,1,Seafood;Nightlife;Restaurants;Steakhouses;Bars
16555,WoFTWkoOrciT0TEvRJcSTQ,"""The Kollege Klub""",Capitol,"""529 N Lake St""",Madison,WI,53703,43.0756224,-89.3970644,2.5,30,1,American (New);Bars;Nightlife;Sports Bars;Restaurants
16993,ovB8CTMCU6RTB9xTrOT_kA,"""Leia's Lunchbox""",Tenney - Lapham,"""""",Madison,WI,53703,43.0833196,-89.37247690000001,5.0,4,1,Food Trucks;Sandwiches;Desserts;Restaurants;Food;Burgers;Farmers Market
17103,5iFHDkcYp2PRllPzq1Qe_g,"""JD's""",Capitol,"""317 N Bassett St""",Madison,WI,53703,43.0730621,-89.39354159999999,3.5,9,0,American (New);Restaurants
17228,1bYtt80iwckHNPJyIl4qQg,"""Oliva""",Wexford,"""751 N High Point Rd""",Madison,WI,53717,43.0759404,-89.5178922,3.5,82,1,Mediterranean;Italian;Restaurants
17343,K7rmxZmtoE0_U_40459TLg,"""Sucre""",Capitol,"""20 W Mifflin""",Madison,WI,53703,43.075216,-89.386276,3.5,3,0,Restaurants
17459,hisaMvsxMzo08xigPIwXiA,"""Las Islas Del Mar""",Glendale,"""5696 Monona Dr""",Madison,WI,53716,43.058548200000004,-89.3257269,4.0,50,0,Seafood;Restaurants;Mexican
17718,JE3SRhAGqZrAzs0gMm5cIA,"""MOD Pizza""",,"""2249 Zeier Rd""",Madison,WI,53704,43.129083,-89.303678,4.0,24,1,Fast Food;Pizza;Restaurants
17867,E3zvCzX7gquT9srY4pUwLg,"""El Rancho Mexican Grill""",,"""819 S Park St""",Madison,WI,53715,43.0588637,-89.40007469999999,4.5,59,1,Restaurants;Mexican
17908,pUmECN5N94AQAe0DtptuYA,"""Burrito Drive""",Williamson - Marquette,"""310 S Brearly St""",Madison,WI,53703,43.0810278,-89.3689566,3.5,136,1,Tex-Mex;Mexican;Restaurants
17933,xhc-bSw2Cz2Inskzjve3Rg,"""Kangchen Indian Cuisine""",,"""7475 Mineral Point Rd""",Madison,WI,53717,43.0595765608,-89.51211069629998,4.0,30,0,Restaurants;Indian
18310,HVpwpXneaCWMeEBF7H8jpQ,"""Taiwan Little Eats""",Capitol,"""320 State St""",Madison,WI,53703,43.074953799999996,-89.3907598,4.0,21,1,Taiwanese;Bubble Tea;Restaurants;Chinese;Food;Asian Fusion
18311,aYjZc-3aVbPIPaJgGiUK_A,"""Nostrano""",Capitol,"""111 S Hamilton St""",Madison,WI,53703,43.072631,-89.384011,4.0,179,0,Restaurants;Mediterranean;Italian
18561,3QkeQGsghxmtHyK2q1_xsQ,"""CoCoLiquot""",Capitol,"""225 King St""",Madison,WI,53703,43.0744019,-89.379518,3.5,7,0,Restaurants
18786,Rn9FfZqjIU1oy8XaST9qbw,"""Black Locust Cafe""",Williamson - Marquette,"""829 E Washington Ave""",Madison,WI,53703,43.081653,-89.373548,4.5,56,1,Restaurants;Creperies;Food;Cafes;Southern;Breakfast & Brunch;Coffee & Tea
18931,rU9pDF4Ir0GlgEbx6cXSYA,"""Cheese Melt Cafe""",,"""West Towne Mall Shopping Center, 66 West Towne Mall""",Madison,WI,53719,43.0572515,-89.5055108,4.5,3,0,Restaurants;Comfort Food;Cafes;Food Court
19036,ppyUsjr_baAojLKyAAO1uw,"""Casetta Kitchen and Counter""",Capitol,"""222 W Washington Ave, Ste 30""",Madison,WI,53703,43.0734362651,-89.38674079260001,4.5,33,1,Wine Bars;Delis;Nightlife;Breakfast & Brunch;Cocktail Bars;Restaurants;Bars;Sandwiches;Italian
19311,52bVodsCN1p_yT7_Y63xeg,"""Taste of Tibet""",Capitol,"""430 State St""",Madison,WI,53703,43.074833500000004,-89.3922683,3.5,13,0,Himalayan/Nepalese;Restaurants
19768,lCWebOwMT2T5WKyA_xb8HA,"""The Red Zone Madison""",South Campus,"""1212 Regent St""",Madison,WI,53715,43.067954,-89.406295,3.0,8,1,American (Traditional);Nightlife;Sports Bars;Gastropubs;Arts & Entertainment;Music Venues;Restaurants;Bars
19983,WacrAWdXzZywkQU-u_Qf8w,"""Akari Sushi""",,"""811 South Gammon Rd""",Madison,WI,53719,43.0473004,-89.503102,3.0,7,1,Sushi Bars;Japanese;Restaurants
20083,oKYUMYQI7AkjCJdRsKlqtg,"""Restaurant Muramoto""",Capitol,"""225 King St""",Madison,WI,53703,43.0745112925,-89.3792792157,3.5,171,0,Restaurants;Asian Fusion;Sushi Bars
