,Unnamed: 0,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,cuisine_grp,american,soup,comfort,zip_area
13,2294,PT0N41nUD3CErvn046JEhg,"""Red Pepper Chinese Restaurant""",Hawthorne,"""1518 N Stoughton Rd""",Madison,WI,53704.0,43.1176498,-89.32545809999998,4.5,3,0,Restaurants;Chinese,asian,other,other,other,northeast
14,2310,84WYW7OfV-IXUJk95EL5_Q,"""Samba Brazilian Grill""",Capitol,"""240 W Gilman St, Fl 2""",Madison,WI,53703.0,43.07546,-89.393063,3.5,173,1,Restaurants;Brazilian,latin american,other,other,other,between lakes
15,2442,Vbkb2shDxUE8H3PzrFnypA,"""Ella's Deli""",Eken Park,"""2902 E Washington Ave""",Madison,WI,53704.0,43.1035133,-89.344598,3.0,249,1,Local Flavor;Restaurants;Burgers;Museums;American (Traditional);Delis;Arts & Entertainment;Food;Ice Cream & Frozen Yogurt,american,american,other,other,northeast
16,2448,3a1w3Ufs9CCC3GJTAV8EpQ,"""McDonald's""",,"""4500 University Ave""",Madison,WI,53705.0,43.075892,-89.454836,1.5,6,1,Fast Food;Restaurants;Burgers,american,american,other,other,southwest
17,2674,tORH_LDga3t1bbuluhuxiQ,"""Smoky's Club""",,"""3005 University Ave""",Madison,WI,53705.0,43.074981,-89.44173570000002,3.0,70,1,Steakhouses;Nightlife;Venues & Event Spaces;Pubs;Bars;Event Planning & Services;Diners;Restaurants;Seafood,american,american,other,other,southwest
18,2886,-uMpSkdN39sz9MbjkauVTQ,"""Taquitos Marimar""",Capitol,"""Downtown Library Mall""",Madison,WI,,43.0755245,-89.3989878,4.5,6,1,Restaurants;Mexican;Food;Food Trucks,latin american,other,other,other,other
19,2908,ecXP80GWT6zZ2qqZHpUCtQ,"""Muramoto Downtown""",Capitol,"""108 King St""",Madison,WI,53703.0,43.0747897,-89.38120713059998,4.0,15,1,Bars;Nightlife;Cocktail Bars;Sushi Bars;Restaurants;Asian Fusion,asian,other,other,other,between lakes
20,3105,KLJmSYpq81fy0gXri-tAAw,"""Firefly""",Regent,"""2701 University Ave""",Madison,WI,53705.0,43.073145200000006,-89.43440179999997,1.5,5,0,Restaurants,other,other,other,other,southwest
21,3310,H_og8Pdq2ijAx1QrWjCMNQ,"""Hyvee Market Cafe""",Midvale Heights Community,"""675 S Whitney Way""",Madison,WI,53711.0,43.0509638462,-89.4728949666,3.5,5,1,American (Traditional);Restaurants;Cafes,american,american,other,other,southwest
22,3444,CfW-088nFNuUF9O7363lwA,"""Panera Bread""",Capitol,"""656 W Washington Ave""",Madison,WI,53703.0,43.067837,-89.395321,3.0,22,1,Food;Restaurants;Sandwiches;Bagels;Soup;Bakeries;Breakfast & Brunch;Salad,american,american,soup,other,between lakes
23,3773,29iErFPoWBTbIVPpp9qSyg,"""Ohio Tavern""",Schenk - Atwood,"""224 Ohio Ave""",Madison,WI,53704.0,43.09389470000001,-89.3473282,4.0,34,1,Mexican;Nightlife;Restaurants;Karaoke;Tacos;Dive Bars;Bars,latin american,other,other,other,northeast
24,3802,A4uc3-zbHowQeR_u-7VNOw,"""Fiesta Cancun""",Oakbridge Community,"""7854 Mineral Point Rd""",Madison,WI,53711.0,43.060587,-89.5192273,3.5,6,0,Mexican;Restaurants,latin american,other,other,other,southwest
25,4113,u6sbx5j-06KmPxUwY_mDqg,"""Mad Dogs Eatery""",Capitol,"""309 N Henry St""",Madison,WI,53703.0,43.07512420000001,-89.390236,3.0,18,0,Restaurants;Hot Dogs,other,other,other,other,between lakes
26,4216,6pG7n8Rx_7ZXeQQk690Nsw,"""Fair Trade Coffee House""",Capitol,"""418 State St""",Madison,WI,53703.0,43.075046,-89.392028,4.0,73,1,Coffee & Tea;Cafes;Restaurants;Food;Sandwiches,american,american,other,other,between lakes
27,4321,XO9oHMxyT0fklifbmED5LQ,"""The Taco Shop""",Capitol,"""604 University Ave""",Madison,WI,53715.0,43.0734428,-89.3960157,2.5,19,0,Restaurants;Mexican,latin american,other,other,other,southwest
28,4330,MOsFhDVav42shCq9-rgejw,"""Potbelly Sandwich Shop""",,"""2245 Zeier Rd""",Madison,WI,53704.0,43.129181,-89.3024425,5.0,6,1,Sandwiches;Delis;Fast Food;Restaurants,american,american,other,other,northeast
29,4347,w53wITixOgDFWld-X1mMng,"""Main Depot Tavern""",Capitol,"""627 W Main St""",Madison,WI,53703.0,43.0672802,-89.392125,4.0,14,1,American (Traditional);Nightlife;Restaurants;Bars;Pubs,american,american,other,other,between lakes
30,4992,nsw3tlB-hwz4KbPYcuaSww,"""Novanta""",,"""8452 Old Sauk Rd""",Madison,WI,53562.0,43.0749188,-89.52984659999998,4.5,177,1,Pizza;Restaurants;American (New);Mediterranean;Italian,american,american,other,other,southwest
31,5000,zi_qqjCzkerE2dT-ViE2JA,"""Bellini Italian Restaurant""",Capitol,"""401 E Washington Ave""",Madison,WI,53703.0,43.077324,-89.37990490000001,3.5,69,0,Restaurants;Italian,european,other,other,other,between lakes
32,5094,sdfmHavBrOZMMsiBv2sg7g,"""Bluephies""",Dudgeon-Monroe,"""2701 Monroe St, Ste 700""",Madison,WI,53711.0,43.0566805,-89.4288493,3.5,230,0,Salad;Restaurants;American (Traditional);American (New),american,american,other,other,southwest
33,5377,uC3qwaxsOkdJzpOc0v1Mog,"""Cafe Hollander""",,"""726 N Midvale Blvd""",Madison,WI,53705.0,43.072963038299996,-89.45388054870001,3.5,351,1,American (Traditional);Belgian;Gastropubs;Breakfast & Brunch;Restaurants,european,other,other,other,southwest
34,5499,940rOS3vKpqJMKtrsoatTA,"""Tilted Kilt Pub & Eatery""",,"""420 Gammon Way""",Madison,WI,53774.0,43.059441,-89.501962,2.5,7,0,Nightlife;Beer;Wine & Spirits;Bars;Restaurants;Food;American (New);Fast Food;Pubs,american,american,other,other,between lakes
35,5572,laERkVWfXVeQcjMSNe65SA,"""The Double U""",Capitol,"""620 University Ave""",Madison,WI,53715.0,43.0733436,-89.3967426,3.0,12,1,Pizza;Bars;Sports Bars;Nightlife;Restaurants,american,american,other,other,southwest
36,5575,XFuNeVTGWZ-UOYO58NNmKg,"""The Statehouse""",Capitol,"""1001 Wisconsin Pl""",Madison,WI,53703.0,43.07918950000001,-89.38968630000002,3.0,80,1,Nightlife;Bars;Breakfast & Brunch;American (Traditional);Restaurants;American (New),american,american,other,other,between lakes
37,5734,n28_5ElTCVkhP-9BTgQGgg,"""IHOP""",Bluff Acres,"""4614 E Washington Ave""",Madison,WI,53704.0,43.1301419411,-89.3064034109,2.0,24,1,American (New);American (Traditional);Breakfast & Brunch;Restaurants,american,american,other,other,northeast
38,5796,jM6YI5V4fYM7OCA1BLKwqw,"""Taco Bell""",,"""698 S. Whitney Way""",Madison,WI,53719.0,43.05044,-89.47375,1.5,23,1,Restaurants;Fast Food;Tex-Mex;Mexican,latin american,other,other,other,southwest
39,5829,IpLvJEjb4AN8eWq5NE2TVA,"""Granite City Food & Brewery""",,"""72 West Towne Mall""",Madison,WI,53719.0,43.0562949363,-89.5050414709,3.5,127,0,Restaurants;American (New);American (Traditional);Breweries;Bars;Burgers;Food;Nightlife,american,american,other,other,southwest
40,6186,c7ZTyqSG4v4ZVwK3vuDklQ,"""Ian's Pizza By The Slice""",Capitol,"""319 N Frances St""",Madison,WI,53703.0,43.0728935,-89.39563559999998,4.0,170,1,Pizza;Restaurants,american,american,other,other,between lakes
41,6213,nsfOIWfXpJVylXvryjEcNw,"""Schlotzsky's Deli""",Mayfair Park,"""3825 E Washington Ave""",Madison,WI,53704.0,43.1193287,-89.3201096,3.5,11,0,Delis;Restaurants,american,american,other,other,northeast
42,6517,XSpEeRqe1CeIBrDoC-wEzg,"""Library Mall""",Capitol,"""728 State St""",Madison,WI,53706.0,43.0753052127,-89.3979099407,4.5,7,1,Food Trucks;Street Vendors;Restaurants;Food Stands;Food,other,other,other,other,southwest
43,6938,rr-8WQv7TWFP3c83ypc4Cg,"""Bridges Golf Course""",Carpenter-Ridgeway,"""2702 Shopko Dr""",Madison,WI,53704.0,43.111405,-89.34716359999999,3.5,15,1,Golf;Restaurants;Active Life,other,other,other,other,northeast
44,7352,k7-UuMFIGcbgmP6RY0Gn_Q,"""Crave Restaurant & Lounge""",Capitol,"""201 W Gorham St""",Madison,WI,53703.0,43.075138,-89.39081,3.5,7,0,Lounges;Nightlife;Restaurants;Bars,other,other,other,other,between lakes
45,7620,duG7f4gq2hS-QW50s-g4zA,"""Chipotle Mexican Grill""",Bluff Acres,"""4628 E Washington Ave""",Madison,WI,53704.0,43.130444583199996,-89.305695506,3.5,34,1,Fast Food;Restaurants;Mexican,latin american,other,other,other,northeast
46,7647,pH9HF3GfJKJAdKDHcoUI4w,"""The Madison Blind""",Capitol,"""601 Langdon St""",Madison,WI,53703.0,43.07564330899999,-89.39547460979998,3.5,55,0,Bars;Restaurants;Diners;American (New);Nightlife;Cocktail Bars,american,american,other,other,between lakes
47,8126,TvhpG74DvdoF4MA0vLlOLw,"""Buck's Pizza""",Lake Edge,"""219 Cottage Grove Rd""",Madison,WI,53716.0,43.0836891,-89.3225822,4.0,22,1,Restaurants;Pizza,american,american,other,other,northeast
48,8221,Y_wVqdHHkmfxdaHGOPffqQ,"""Kato's Cajun""",,"""66 E Towne Mall""",Madison,WI,53704.0,43.1251523,-89.3057293,2.5,3,1,Cajun/Creole;Restaurants;Fast Food,american,american,other,other,northeast
49,8261,VbRT8CJlnCO9_rd0zW-rUw,"""Willy Street Pub & Grill""",Williamson - Marquette,"""852 Williamson St""",Madison,WI,53703.0,43.079507,-89.370069,3.5,18,1,Nightlife;Restaurants;Bars;American (Traditional);Dive Bars,american,american,other,other,between lakes
50,8356,6zZDTZ4ZZEYfN268iPz0uQ,"""RED""",Capitol,"""316 West Washington Ave, Ste 100""",Madison,WI,53703.0,43.07284,-89.388113,4.0,117,1,Bars;Lounges;Food;Sushi Bars;Desserts;Cocktail Bars;Restaurants;Nightlife,asian,other,other,other,between lakes
51,8401,DhMshA4a0t5wlOq7u0RiMw,"""Subway""",,"""7011 Watts Rd""",Madison,WI,53719.0,43.0498188,-89.50422259999998,2.0,5,1,Restaurants;Fast Food;Sandwiches,american,american,other,other,southwest
52,8495,Pzs43Fkub-6A9hA1zqpF_w,"""Maharaja Restaurant""",,"""6713 Odana Rd""",Madison,WI,53719.0,43.055999,-89.4977688,4.0,142,0,Restaurants;Indian;Pakistani,asian,other,other,other,southwest
53,8536,alUQ8F8tom1kTsk4353I2A,"""Copps Food Center""",Carpenter-Ridgeway,"""2502 Shopko Dr""",Madison,WI,53704.0,43.112943,-89.349625,2.5,12,0,Grocery;Restaurants;Specialty Food;Meat Shops;Food;Health Markets;Delis;Beer;Wine & Spirits,american,american,other,other,northeast
54,8762,kDCmjSgYGn8MbQsnO5UJnA,"""Nau-Ti-Gal""",,"""5360 Westport Rd""",Madison,WI,53704.0,43.1501998757,-89.4041699011,2.5,73,1,Seafood;American (Traditional);Burgers;Restaurants,american,american,other,other,northeast
55,9181,wGPZCNenq5HYb50Ip9NXAw,"""El Pescador""",Eken Park,"""2810 E Washington Ave""",Madison,WI,53774.0,43.102942,-89.345949,4.0,5,0,Mexican;Restaurants,latin american,other,other,other,between lakes
56,9260,hXCoi8OuvdhIA-zXJiPvfg,"""Full Of Bull Famous Roast Beef""",Capitol,"""534 State St""",Madison,WI,53703.0,43.0751289,-89.394324,2.5,26,0,Sandwiches;Steakhouses;Restaurants,american,american,other,other,between lakes
57,9351,Q6_YIK0yUI8HEgqrOIE-1Q,"""A Sakura""",,"""5401 Caddis Bend""",Madison,WI,53711.0,43.019333047399996,-89.42055702209998,3.0,16,0,Japanese;Sushi Bars;Restaurants,asian,other,other,other,southwest
58,9375,nD_SylumoZnWevDlWcyGcQ,"""43 North""",Capitol,"""108 King St""",Madison,WI,53703.0,43.074745,-89.3812356,4.0,93,0,Food;Tapas/Small Plates;Restaurants;American (New),american,american,other,other,between lakes
59,9794,3-HFGxmbzSax-NySJ_LzDg,"""VIP""",,"""6718-6722 Odana Rd""",Madison,WI,53719.0,43.0571089,-89.49835999999998,3.5,173,1,Sushi Bars;Restaurants;Chinese;Japanese,asian,other,other,other,southwest
60,10029,7OKQ4ENVfPfxtDqFOG7x0g,"""A8 China""",Capitol,"""608 University Ave""",Madison,WI,53715.0,43.0734206,-89.39615970000001,2.5,34,1,Restaurants;Chinese,asian,other,other,other,southwest
61,10328,wX8btbqgyFh0yHgmyR8ovA,"""Monsoon Siam""",Schenk - Atwood,"""2045 Atwood Ave""",Madison,WI,53704.0,43.0920714,-89.3535202,4.0,142,1,Thai;Bars;Nightlife;Soup;Restaurants,asian,other,soup,other,northeast
62,10387,LOARujcfx-Ty_RUlcnYspg,"""Burger King""",Starkweather - Yahar,"""2655 E Washington Ave""",Madison,WI,53704.0,43.101439,-89.34723199999998,1.5,28,1,Fast Food;Restaurants,american,american,other,other,northeast
63,10450,5YUoTimGDPbbmRfw6SJgTQ,"""China Kitchen""",,"""6608 Mineral Point Rd""",Madison,WI,53705.0,43.06157879999999,-89.49593730000002,3.5,15,1,Chinese;Restaurants,asian,other,other,other,southwest
64,10497,OlA7h9oOttqTALudvEUzTg,"""Gloria's Mexican Restaurant""",Junction Ridge,"""610 Junction Rd""",Madison,WI,53717.0,43.07325520000001,-89.5266699,4.0,65,1,Mexican;Restaurants,latin american,other,other,other,southwest
65,10622,jz_q2_QTq_CdDbOtY2FSXg,"""Starbucks""",Sunset Village,"""3515 University Ave""",Madison,WI,53705.0,43.0748689,-89.44748680000002,3.0,28,1,Cafes;Food;Restaurants;Coffee & Tea,american,american,other,other,southwest
66,10775,sBoifVfW-caU7Hq05QMJgw,"""El Rincon Tico""",Williamson - Marquette,"""1133 Williamson  St""",Madison,WI,53703.0,43.082528,-89.36483100000002,3.0,13,0,Latin American;Restaurants,latin american,other,other,other,between lakes
67,10901,h9ELiqDfwNktCvLEu1DDNg,"""Paul's Club""",Capitol,"""204 State St""",Madison,WI,53703.0,43.0748794571,-89.38833832739998,3.5,92,1,Nightlife;American (New);Lounges;Bars;Restaurants,american,american,other,other,between lakes
68,11001,7CD4qTysNB-lis85QFS8Tg,"""Jalapeño Mexican Grill""",Bram's Addition,"""1821 S Park St""",Madison,WI,53713.0,43.0470342,-89.3939631,4.0,7,0,Mexican;Restaurants,latin american,other,other,other,southwest
69,11040,lc9RZgA1FYbaJp4JQ4gm0Q,"""Madtown Pizza""",Tenney - Lapham,"""912 E Johnson St""",Madison,WI,53703.0,43.0847415,-89.37605699999997,4.0,19,0,Restaurants;Pizza,american,american,other,other,between lakes
70,11064,WkHVtY5voeLCvv61klhUnA,"""Arby's""",,"""4 Collins Ct""",Madison,WI,53716.0,43.047206,-89.305583,2.5,9,1,Fast Food;Burgers;Restaurants;Sandwiches,american,american,other,other,northeast
71,11106,-mst4KdHEmeF3Qm0Xfouhw,"""Subway""",,"""6000 Monona Dr, Ste 100""",Madison,WI,53716.0,43.0539464275,-89.3249382824,2.0,5,1,Sandwiches;Restaurants;Fast Food,american,american,other,other,northeast
72,11354,fQ1sYWuXtVVOFWhrC9bTrA,"""Culver's""",Nobel Park,"""1325 Northport Dr""",Madison,WI,53704.0,43.1341322,-89.3728554,3.0,13,1,Restaurants;Ice Cream & Frozen Yogurt;Fast Food;Food;Burgers,american,american,other,other,northeast
73,11436,2YlUn3s132hNq5ueGeIiJg,"""Bonfyre American Grille""",,"""2601 W Beltline Hwy""",Madison,WI,53713.0,43.034735368999996,-89.42256113879999,3.5,212,1,Nightlife;Bars;Beer Bar;American (Traditional);Cocktail Bars;Restaurants;American (New),american,american,other,other,southwest
74,11541,9qd2RuiGMtVju7tqdp3dsw,"""Jovian Taphaus""",McClellan Park,"""876 Jupiter Dr""",Madison,WI,53718.0,43.0853685,-89.2798865,2.0,6,0,Restaurants;American (New),american,american,other,other,northeast
75,11589,miiptVrDH-qHT4wmI-Lk8g,"""Wendy's""",,"""633 S Gammon Rd""",Madison,WI,53719.0,43.051062,-89.5023902,3.5,12,1,Fast Food;Restaurants;Burgers,american,american,other,other,southwest
76,11652,asAHqgKQtCWiBbC3XriSIQ,"""Chang Jiang""",,"""646 S Gammon Rd""",Madison,WI,53719.0,43.0505454,-89.50397679999998,3.5,27,1,Restaurants;Chinese,asian,other,other,other,southwest
77,11898,Thbnk3uDJ2PPCCluUdqfEg,"""Cactus Ranch""",Regent,"""2701 University Ave""",Madison,WI,53705.0,43.073151,-89.434322,3.5,9,0,Tex-Mex;Barbeque;Restaurants;Burgers,american,american,other,other,southwest
78,12011,wEisic-u9Yj543iYzfpAhw,"""La Mestiza""",,"""6644 Odana Rd""",Madison,WI,53719.0,43.056038,-89.49419509999998,4.0,156,1,Mexican;Restaurants,latin american,other,other,other,southwest
79,12061,RJNAeNA-209sctUO0dmwuA,"""The Old Fashioned""",Capitol,"""23 N Pinckney St""",Madison,WI,53703.0,43.0761862475,-89.3837572172,4.0,1449,1,American (New);American (Traditional);Bars;German;Salad;Food;Beer;Wine & Spirits;Restaurants;Nightlife;Breakfast & Brunch;Steakhouses,american,american,other,other,between lakes
80,12089,9D9VuQW6ysUacf63q-5pMA,"""Pizza Hut""",Greenbush,"""520 S Park St""",Madison,WI,53715.0,43.0613553,-89.4010849,4.0,6,1,Italian;Pizza;Restaurants;Chicken Wings,american,american,other,comfort,southwest
81,12131,2cetuQgbP1Bnzm-uMRlocQ,"""Nam's Noodle""",South Campus,"""1336 Regent St""",Madison,WI,53715.0,43.06797750000001,-89.40845379999998,3.5,91,1,Asian Fusion;Chinese;Restaurants;Vietnamese;Noodles,asian,other,other,other,southwest
82,12132,1ru9ZnIcSXKtD-jQoxLzNg,"""Freiburg Gastropub""",Dudgeon-Monroe,"""2616 Monroe St""",Madison,WI,53711.0,43.05755070000001,-89.42852959999998,4.0,103,1,Restaurants;Gastropubs;Beer Bar;Nightlife;Bars;German,european,other,other,other,southwest
83,12761,ffUMyqLvDLcsed5p_7wy5A,"""Avenue Bar""",Tenney - Lapham,"""1128 E Washington Ave""",Madison,WI,53703.0,43.085589,-89.36945290000001,3.5,101,0,Nightlife;Restaurants;Bars;American (Traditional);Fish & Chips;Cocktail Bars,american,american,other,other,between lakes
84,13245,rKUyL4Bbgd_ipQI3F9i3tQ,"""Dodo's Cafe""",,"""66 W Towne Mall""",Madison,WI,53719.0,43.05638436050001,-89.50637839950001,4.0,5,0,Coffee & Tea;Juice Bars & Smoothies;Food;Restaurants;Cafes,american,american,other,other,southwest
85,13264,MQb3PUxPJKYNQOY7g9bc_A,"""Rocky Rococo Pan Style Pizza - North/East""",,"""1753 Thierer Rd""",Madison,WI,53704.0,43.1232835811,-89.31311221530001,2.5,13,1,Italian;Pizza;Restaurants;Salad,american,american,other,other,northeast
86,13311,KYdtom3RyDt-3SWGwmJcQA,"""QDOBA Mexican Eats""",,"""6650 Mineral Point Rd""",Madison,WI,53705.0,43.0614295863,-89.4965509978,3.5,10,1,Restaurants;Fast Food;Event Planning & Services;Caterers;Mexican,latin american,other,other,other,southwest
87,13351,iFlr0eG_qH-cgXFhji7gbQ,"""Erin's Snug Irish Pub""",,"""4601 American Pkwy""",Madison,WI,53718.0,43.1486157,-89.2892764,3.5,147,1,American (Traditional);Irish;Pubs;Nightlife;Restaurants;Breakfast & Brunch;Irish Pub;Bars;Sandwiches,american,american,other,other,northeast
88,13395,tvESBMlJsaARw6hXoRCdjQ,"""Taco Bell""",,"""East Towne Mall, 228 East Towne Mall""",Madison,WI,53704.0,43.127819,-89.30661500000002,1.0,3,1,Restaurants;Tex-Mex;Mexican;Fast Food,latin american,other,other,other,northeast
89,13461,M4f1JtOp03-gv8xR5JtV8Q,"""Papa John's Pizza""",Stone Meadows,"""6619 McKee Rd""",Madison,WI,53719.0,43.0146904387,-89.4983652026,2.5,12,1,Restaurants;Pizza,american,american,other,other,southwest
90,13607,i7PG3pFaBLy9MHM_RYzKAw,"""Rising Sons""",Wexford,"""745 N High Point Rd""",Madison,WI,53717.0,43.076113644799996,-89.51811387309998,4.0,35,1,Restaurants;Asian Fusion;Thai,asian,other,other,other,southwest
91,13744,qLYNdv7bgA7OOOKTxu0giA,"""Good Food""",Capitol,"""33 E Main St""",Madison,WI,53703.0,43.0740986906,-89.38282370569998,4.5,70,1,Restaurants;Food Stands;Food;Street Vendors;Sandwiches,american,american,other,other,between lakes
92,14432,HaRB76OqxMZ28snURM9tFw,"""Papa Bear's BBQ""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716.0,43.084097,-89.30451679999999,4.0,20,0,Barbeque;Restaurants,other,other,other,other,northeast
93,14554,DQMaUSbKsRtB5lJD3egqxQ,"""Wah Kee Wonton Noodle""",Williamson - Marquette,"""600 Williamson St, Ste E""",Madison,WI,53703.0,43.0770678,-89.3744,3.5,144,1,Chinese;Cantonese;Noodles;Restaurants,asian,other,other,other,between lakes
94,14730,-jZ1TrvY56HFqmxjbpcU2A,"""Gotham Bagels""",Capitol,"""112 E Mifflin St""",Madison,WI,53704.0,43.0769221065,-89.3835302639,3.5,156,1,Food;Bagels;Restaurants;Delis;Breakfast & Brunch,american,american,other,other,northeast
95,15136,KW5qy8mKBpgd2xL_5w7Mzg,"""Topper's Pizza""",Norman Acres,"""4128 E Washington Ave""",Madison,WI,53704.0,43.1254222,-89.312196,2.5,19,1,Pizza;Restaurants,american,american,other,other,northeast
96,15199,vahVdHsH5HjThT0Sa2mThQ,"""Wilson's Bar""",Schenk - Atwood,"""2144 Atwood Ave""",Madison,WI,53704.0,43.093214,-89.350403,3.5,27,1,Sandwiches;Burgers;Bars;Restaurants;Nightlife;Sports Bars,american,american,other,other,northeast
97,15539,n_EdZHrdiLSaO6IMr5RyWA,"""Saffron""",Regent,"""10 S Allen St""",Madison,WI,53726.0,43.0676879,-89.4239575,4.5,3,0,Cafes;Restaurants,american,american,other,other,southwest
98,15628,tnRZmWnVnq25S0Hd4h-L_A,"""Las Cazuelas""",Capitol,"""15 N Butler St""",Madison,WI,53703.0,43.0771243,-89.3815107,2.5,8,0,Mexican;Restaurants,latin american,other,other,other,between lakes
99,15633,hc81y_5FQjTiZcgqnY8vfQ,"""Pizza Hut""",Rolling Meadows,"""4762 Cottage Grove Rd""",Madison,WI,53716.0,43.08459570000001,-89.2995667,2.0,12,1,Restaurants;Chicken Wings;Pizza;Italian,american,american,other,comfort,northeast
100,15684,iy-t6CyVL2g38wPFY4ac4g,"""Pizza Hut""",,"""7440 Mineral Point Rd""",Madison,WI,53717.0,43.061151,-89.512235,2.0,18,1,Restaurants;Italian;Chicken Wings;Pizza,american,american,other,comfort,southwest
101,15815,Qn2uD06olrxL_43_4G_Hqg,"""Rosati's Authentic Chicago Pizza""",,"""4933 Commercial Ave""",Madison,WI,53704.0,43.105556360600005,-89.2966957014,3.0,15,1,Pizza;Restaurants,american,american,other,other,northeast
102,16051,fqeHgAtcUxp2ocf_RLErkg,"""Mr. Brews Taphouse All American Burgers""",Junction Ridge,"""610 Junction Rd, Ste 107""",Madison,WI,53717.0,43.0733000354,-89.52668633309997,3.5,91,1,Pubs;American (New);Restaurants;Bars;Burgers;Nightlife,american,american,other,other,southwest
103,16214,d6VYQbeTZ_WdD8Uuhh35dg,"""Tempest Oyster Bar""",Capitol,"""120 E Wilson St""",Madison,WI,53703.0,43.073930018599995,-89.3796241524,4.0,205,1,Seafood;Nightlife;Restaurants;Steakhouses;Bars,american,american,other,other,between lakes
104,16555,WoFTWkoOrciT0TEvRJcSTQ,"""The Kollege Klub""",Capitol,"""529 N Lake St""",Madison,WI,53703.0,43.0756224,-89.3970644,2.5,30,1,American (New);Bars;Nightlife;Sports Bars;Restaurants,american,american,other,other,between lakes
105,16993,ovB8CTMCU6RTB9xTrOT_kA,"""Leia's Lunchbox""",Tenney - Lapham,"""""",Madison,WI,53703.0,43.0833196,-89.37247690000002,5.0,4,1,Food Trucks;Sandwiches;Desserts;Restaurants;Food;Burgers;Farmers Market,american,american,other,other,between lakes
106,17103,5iFHDkcYp2PRllPzq1Qe_g,"""JD's""",Capitol,"""317 N Bassett St""",Madison,WI,53703.0,43.0730621,-89.39354159999998,3.5,9,0,American (New);Restaurants,american,american,other,other,between lakes
